id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
14633,,37.275561,-121.964134, Hazelwood canary ,outside,12.65,69.0,20.555555555555557,37.0,1019.61,,,,,,,,,,,,,2020-11-15 18:33:58,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,11.11,10.26,9.57,14.81,12.2,12.47
25999,,30.053808,-95.494643, Villages of Bridgestone AQI,outside,2.03,81.0,27.222222222222225,17.0,1018.27,,,,,,,,,,,,,2020-11-15 18:33:51,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.25,2.1,2.2,7.02,15.05,17.0
14091,,37.88362,-122.070087, WC Hillside,outside,6.05,64.0,17.77777777777778,43.0,1014.11,,,,,,,,,,,,,2020-11-15 18:32:35,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,6.84,7.27,7.17,7.12,7.88,12.14
42073,,47.185173,-122.176855,#1,outside,1.84,51.0,10.555555555555555,68.0,995.77,,,,,,,,,,,,,2020-11-15 18:34:08,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,1.5,1.42,1.53,4.08,6.28,12.53
53069,,47.190197,-122.177992,#2,outside,1.2,53.0,11.666666666666668,72.0,995.86,,,,,,,,,,,,,2020-11-15 18:33:24,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.52,1.44,1.55,3.93,6.29,12.99
22751,,36.807377,-119.796109,#ValleyClimate,outside,45.91,65.0,18.333333333333336,54.0,1016.46,,,,,,,,,,,,,2020-11-15 18:33:08,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,45.4,44.14,42.63,36.7,33.95,35.63
2492,,42.714377,-73.202118,'66 Envi Center,outside,6666.0,48.0,8.88888888888889,51.0,991.7,,,,,,,,,,,,,2020-11-15 18:33:10,PMS5003+PMS5003+BME280,,,False,True,False,1,,,,,,,False,7.15,7.61,8.11,12.46,14.87,10.6
30755,,36.737668,-119.778839,'S' St Between Inyo and Mono,outside,34.47,73.0,22.77777777777778,37.0,1016.37,,,,,,,,,,,,,2020-11-15 18:32:38,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,37.46,40.18,40.91,33.73,30.23,29.56
44563,,34.10921,-117.634656,003 FK Parking Lot,outside,2.72,84.0,28.88888888888889,11.0,974.09,,,,,,,,,,,,,2020-11-15 18:33:00,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.5,2.3,2.64,15.17,21.67,21.97
44577,,34.109474,-117.635981,005- FK Shelby Forest,outside,0.0,60.0,15.555555555555557,58.0,972.82,,,,,,,,,,,,,2020-11-14 02:56:23,PMS5003+PMS5003+BME280,,,False,False,False,2378,,,,,,,False,0.0,0.0,0.0,0.0,0.0,1.65
51819,,55.820716,-4.072659,01,outside,6.0,55.0,12.777777777777779,63.0,980.15,,,,,,,,,,,,,2020-11-15 18:32:52,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,5.91,4.29,2.9,1.38,3.18,7.14
51713,,55.820764,-4.072763,02,outside,5.14,53.0,11.666666666666668,72.0,980.22,,,,,,,,,,,,,2020-11-15 18:32:49,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,6.13,4.45,3.01,1.44,3.36,7.83
64797,,37.788488,-122.263106,1 5th Avenue Marina Bldg 28 @ El 9 Ft,outside,32.9,75.0,23.88888888888889,36.0,1028.16,,,,,,,,,,,,,2020-11-15 18:33:34,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,32.63,30.14,26.0,18.55,15.23,14.98
69629,,38.223993,-122.659176,1 Iverson Way,outside,7.03,76.0,24.444444444444446,30.0,1017.93,,,,,,,,,,,,,2020-11-15 18:32:29,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,8.24,8.55,8.7,6.06,4.58,7.56
12248,,47.402972,8.613296,1 Ueberlandstrasse 129,outside,34.23,56.0,13.333333333333334,53.0,962.66,,,,,,,,,,,,,2020-11-15 18:33:32,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,35.62,33.85,31.95,30.96,27.34,20.35
10808,,40.507316,-111.899188,1-800 Contacts,outside,0.0,58.0,14.444444444444445,18.0,872.6,,,,,,,,,,,,,2020-11-15 18:34:09,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.11,0.1,0.08,0.42,1.88,7.22
67357,,37.38472,-122.20407,10 Alhambra Ct. Portola Valley,outside,3.73,60.0,15.555555555555557,43.0,999.88,,,,,,,,,,,,,2020-11-15 18:32:42,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.35,2.81,2.27,5.05,6.84,10.0
24709,,34.167005,-118.03768,10,outside,1.61,90.0,32.22222222222222,14.0,994.36,,,,,,,,,,,,,2020-11-15 18:32:45,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.69,1.8,1.91,8.36,14.29,19.39
70403,,37.320428,-122.270306,100 Canada Vista,outside,0.55,89.0,31.666666666666668,13.0,1006.5,,,,,,,,,,,,,2020-11-15 18:33:50,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,8.1,21.57,22.57,18.33,16.47,12.79
42003,,37.988603,-122.105746,1000 Rolling Hill Way,outside,9.02,70.0,21.11111111111111,35.0,1019.45,,,,,,,,,,,,,2020-11-15 18:32:35,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,7.84,9.12,9.35,8.68,10.19,14.39
20747,,37.838977,-122.205489,1000ft Montclair,outside,25.29,63.0,17.22222222222222,56.0,990.81,,,,,,,,,,,,,2020-11-15 18:33:13,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,22.33,15.62,11.71,8.72,11.58,13.74
79095,,47.67213,-122.514183,10058 NE Winthers Road,outside,2.38,55.0,12.777777777777779,59.0,1007.35,,,,,,,,,,,,,2020-11-15 18:33:42,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,1.75,1.68,1.6,2.47,4.8,6.85
37077,,37.446829,-122.168242,"101 Alma St, 12th Floor, Palo Alto, CA 94301",outside,19.88,61.0,16.11111111111111,43.0,1021.11,,,,,,,,,,,,,2020-11-15 17:16:23,PMS5003+PMS5003+BME280,,,False,False,False,78,,,,,,,False,3.87,4.15,5.45,6.27,5.2,18.66
61607,,37.460399,-122.18778,102 Encinal Ave.,outside,5.76,68.0,20.0,46.0,1018.14,,,,,,,,,,,,,2020-11-04 01:59:08,PMS5003+PMS5003+BME280,,,False,False,False,16835,,,,,,,False,5.69,6.09,8.07,21.13,27.04,18.4
52031,,40.431901,-79.898504,1021 Lancaster,outside,8.59,63.0,17.22222222222222,61.0,969.92,,,,,,,,,,,,,2020-11-15 18:34:26,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,8.47,9.09,9.65,14.3,16.67,16.3
5460,,40.72751,-111.861434,1027 Hollywood,outside,3.29,59.0,15.0,19.0,874.36,,,,,,,,,,,,,2020-11-15 18:34:14,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,1.24,1.08,0.98,1.22,2.62,7.77
72509,,38.02244,-122.532103,1049 Cresta Way,outside,7.95,59.0,15.0,47.0,1022.2,,,,,,,,,,,,,2020-11-15 18:32:45,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,7.04,5.65,4.86,4.59,5.39,9.55
23943,,64.820823,-147.415847,1051 Dakota St. North Pole AK,outside,0.0,19.0,-7.222222222222222,48.0,1004.09,,,,,,,,,,,,,2020-11-15 18:32:44,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.02,1.35,1.66,8.8,14.97,12.01
76623,,35.353182,-113.746199,10546 spring valley drive,outside,0.0,67.0,19.444444444444446,9.0,881.41,,,,,,,,,,,,,2020-11-15 18:34:22,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.02,0.03,0.05,1.06,2.0,2.61
47495,,35.965694,-78.804272,106 Calico Court,outside,10.75,83.0,28.333333333333336,45.0,1009.41,,,,,,,,,,,,,2020-10-27 19:16:44,PMS5003+PMS5003+BME280,,,False,False,False,27317,,,,,,,False,12.45,13.15,14.06,12.21,10.2,11.05
23311,,38.062702,-122.175862,1072 West L Street,outside,4.07,76.0,24.444444444444446,32.0,1024.62,,,,,,,,,,,,,2020-11-15 18:34:07,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,5.48,6.87,7.64,9.14,8.82,11.7
63617,,37.454456,-122.123002,108 Jasmine Way,outside,22.3,62.0,16.666666666666668,51.0,1028.26,,,,,,,,,,,,,2020-11-15 18:34:21,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,25.58,24.16,20.9,19.3,15.61,15.16
69223,,37.402519,-122.283286,1080 Bear Gulch,outside,0.15,71.0,21.666666666666668,20.0,966.28,,,,,,,,,,,,,2020-11-15 18:34:06,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.07,0.07,0.1,2.27,3.76,6.78
73133,,42.128798,-71.17601,108NMainSharon,outside,5.12,52.0,11.11111111111111,40.0,1012.11,,,,,,,,,,,,,2020-11-15 18:33:30,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,4.45,4.59,5.07,6.41,6.76,7.7
9014,,40.572341,-79.847495,109 Cove Run,outside,8.1,66.0,18.88888888888889,100.0,971.99,,,,,,,,,,,,,2020-11-15 18:32:46,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,9.26,11.6,11.87,13.31,13.92,12.53
2890,,41.359016,-95.96844,10920 Canyon RD,outside,0.0,55.0,12.777777777777779,33.0,973.27,,,,,,,,,,,,,2020-11-15 18:33:55,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.05,0.09,0.3,3.1,6.25,8.62
42905,,39.539897,-123.753534,10Mile,outside,0.0,63.0,17.22222222222222,76.0,1022.51,,,,,,,,,,,,,2020-11-15 18:33:37,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.0,0.05,0.29,3.37,6.24,6.81
82395,,45.653844,-110.568088,10th & Clark,outside,0.07,48.0,8.88888888888889,32.0,858.02,,,,,,,,,,,,,2020-11-15 18:32:30,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.02,0.01,0.02,0.15,1.19,2.97
66239,,37.773904,-122.467569,10th and Fulton Deck,outside,23.79,61.0,16.11111111111111,53.0,1019.87,,,,,,,,,,,,,2020-11-15 18:32:38,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,24.05,25.36,22.98,13.15,9.41,11.5
70511,,37.785393,-122.4693,10th Ave,outside,31.9,61.0,16.11111111111111,62.0,1022.26,,,,,,,,,,,,,2020-11-15 18:32:56,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,30.79,29.19,24.86,14.64,10.03,11.62
53973,,37.558026,-122.318923,10th Ave/Palm,outside,34.88,61.0,16.11111111111111,54.0,1027.45,,,,,,,,,,,,,2020-11-15 18:32:29,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,36.45,32.48,25.01,14.62,10.98,12.52
21249,,35.024266,-120.548774,"1105 Trail View Place, Nipomo, CA",outside,1.37,69.0,20.555555555555557,30.0,1013.35,,,,,,,,,,,,,2020-11-15 18:32:31,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.28,2.98,2.95,2.85,5.1,10.59
37971,,37.883729,-122.290362,"1128 Key Route Blvd, Albany CA",outside,33.81,62.0,16.666666666666668,57.0,1025.73,,,,,,,,,,,,,2020-11-15 18:33:17,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,32.41,28.53,22.49,13.3,10.65,11.56
65491,,37.530251,-122.294832,113 W 40th Ave,outside,23.75,63.0,17.22222222222222,47.0,1025.75,,,,,,,,,,,,,2020-11-15 18:33:30,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,24.43,24.41,24.22,17.97,12.87,13.01
5588,,41.868892,-87.629436,1138 PLYMOUTH,outside,0.0,,,,,,,,,,,,,,,,,2020-11-15 18:33:43,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0
54183,,39.983944,-76.173252,115 Old Post Lane,outside,13.31,62.0,16.666666666666668,53.0,995.08,,,,,,,,,,,,,2020-11-15 18:32:48,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,12.94,14.86,17.22,23.56,20.6,16.59
74275,,37.464251,-122.12757,1159 Sage St,outside,19.85,62.0,16.666666666666668,52.0,1028.05,,,,,,,,,,,,,2020-11-15 18:34:19,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,21.19,20.07,18.0,19.22,15.38,13.33
79057,,37.352233,-122.136147,11950,outside,4.78,60.0,15.555555555555557,45.0,1006.98,,,,,,,,,,,,,2020-11-15 18:33:34,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,4.79,4.15,3.57,6.05,6.86,8.73
85063,,39.747008,-121.858874,11th ave & esplanade,outside,10.45,65.0,18.333333333333336,37.0,1020.95,,,,,,,,,,,,,2020-11-15 18:32:35,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,9.53,12.91,15.68,26.29,28.13,18.14
13143,,38.006316,-122.630646,120 pine ave,outside,0.2,62.0,16.666666666666668,49.0,1004.82,,,,,,,,,,,,,2020-11-15 18:32:52,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.61,1.0,1.5,3.78,5.03,9.31
73275,,37.674201,-120.977415,"1205 Dorothy Way, Modesto, Ca",outside,43.65,62.0,16.666666666666668,53.0,1024.19,,,,,,,,,,,,,2020-11-15 18:33:04,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,43.18,41.56,40.77,46.75,39.19,21.21
5416,,37.274816,-107.098936,121 Dutton Pagoda Springs Co,outside,0.0,50.0,10.0,20.0,779.38,,,,,,,,,,,,,2020-11-15 18:33:21,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.01,0.09,0.25,0.83,1.73,3.85
55339,,40.673155,-74.303564,121 park dr kenilworth nj 07033,outside,4.21,80.0,26.666666666666668,29.0,1012.38,,,,,,,,,,,,,2020-11-15 18:32:49,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,4.19,4.69,5.94,11.96,21.8,21.58
61199,,36.445955,-121.798002,"121 Rancho San Carlos Road, Carmel CA 93923",outside,0.0,75.0,23.88888888888889,12.0,974.95,,,,,,,,,,,,,2020-11-15 18:32:37,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.02,0.03,0.06,0.47,1.14,5.37
32553,,64.90141,-147.75743,"1231 Sundance, Fairbanks",outside,0.25,16.0,-8.88888888888889,52.0,994.74,,,,,,,,,,,,,2020-11-15 18:34:17,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.4,0.78,2.61,11.16,8.88,4.74
68699,,37.352004,-122.07945,1250 Fremont Ave - Outside,outside,6.21,66.0,18.88888888888889,38.0,1019.78,,,,,,,,,,,,,2020-11-15 18:33:15,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,6.17,6.22,6.09,8.83,9.17,11.95
69179,,37.526427,-122.356213,1251 laurel hill drive,outside,17.98,61.0,16.11111111111111,64.0,1011.02,,,,,,,,,,,,,2020-11-15 18:33:10,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,21.13,18.0,12.89,6.51,5.97,6.53
61097,,41.494762,-81.709823,1255 W.25 St,outside,4.93,51.0,10.555555555555555,65.0,977.07,,,,,,,,,,,,,2020-11-15 18:33:04,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,4.66,5.93,7.01,12.44,15.82,13.28
77639,,38.378927,-122.530113,12550 henno,outside,2.32,65.0,18.333333333333336,42.0,1008.3,,,,,,,,,,,,,2020-11-15 18:33:55,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.71,2.9,2.97,3.07,3.35,3.3
12322,,40.796744,-111.936001,1262 N. Carousel Street,outside,0.93,57.0,13.88888888888889,20.0,878.11,,,,,,,,,,,,,2020-11-15 18:33:15,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.44,0.35,0.28,0.91,2.45,7.77
76743,,36.620426,-121.914676,12th and Lighthouse,outside,8.85,62.0,16.666666666666668,50.0,1024.49,,,,,,,,,,,,,2020-11-15 18:32:54,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,7.39,7.25,8.28,13.39,11.5,11.27
16863,,64.838225,-147.71021,12th Ave,outside,1.9,28.0,-2.2222222222222223,50.0,1015.25,,,,,,,,,,,,,2020-10-20 18:19:56,PMS5003+PMS5003+BME280,,,False,False,False,37454,,,,,,,False,1.81,3.38,5.2,7.28,7.42,4.64
60015,,37.762129,-122.469673,12thAve,outside,18.94,76.0,24.444444444444446,35.0,1018.52,,,,,,,,,,,,,2020-11-15 18:33:27,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,15.17,17.88,18.53,13.63,9.97,11.66
58897,,45.000425,-93.256133,12XX John Adams St. NE,outside,13.8,37.0,2.7777777777777777,53.0,975.6,,,,,,,,,,,,,2020-11-15 18:32:55,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,13.6,15.94,18.26,20.82,16.61,13.67
4928,,38.090349,-122.238814,1300 Block Lemon,outside,6.0,93.0,33.88888888888889,19.0,1027.45,,,,,,,,,,,,,2020-11-15 18:32:29,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,6.74,9.48,12.48,14.36,11.49,13.3
15477,,38.097952,-122.239408,"1303 Ryder st, Vallejo, ca,94590",outside,5.38,,,,,,,,,,,,,,,,,2020-11-15 18:28:15,PMS5003+PMS5003+BME280,,,False,False,False,6,,,,,,,False,14.05,13.7,13.56,14.55,16.86,7.78
31185,,37.22168,-80.394267,1307 Highland Cir,outside,15.05,64.0,17.77777777777778,61.0,932.92,,,,,,,,,,,,,2020-11-15 18:32:48,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,14.9,13.46,13.15,13.16,8.82,7.02
4613,,37.798345,-120.994838,"1311 San Joaquin St Escalon, CA",outside,28.19,64.0,17.77777777777778,56.0,1023.13,,,,,,,,,,,,,2020-11-15 18:33:58,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,31.56,33.32,35.22,39.65,35.05,27.01
37121,,37.77074,-122.4308,132 Germania St,outside,29.83,65.0,18.333333333333336,49.0,1022.25,,,,,,,,,,,,,2020-11-15 18:33:49,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,28.87,27.54,23.85,14.62,10.41,11.81
66409,,37.359007,-122.080611,1335 sunrise ct,outside,7.48,81.0,27.222222222222225,22.0,1021.05,,,,,,,,,,,,,2020-11-15 18:33:00,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,6.81,6.37,6.31,10.18,10.08,12.51
42909,,37.376258,-122.125633,13474 Robleda Rd Los Altos Hills Ca,outside,5.79,63.0,17.22222222222222,41.0,1018.5,,,,,,,,,,,,,2020-11-15 18:32:42,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,5.97,5.48,4.43,5.15,6.09,10.19
77263,,47.721975,-122.157519,136th outside,outside,1.71,63.0,17.22222222222222,45.0,1005.1,,,,,,,,,,,,,2020-11-15 18:33:08,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.94,2.47,2.32,2.42,3.8,7.0
79667,,37.354968,-122.094676,1380 Country Club,outside,6.54,60.0,15.555555555555557,44.0,1019.96,,,,,,,,,,,,,2020-11-15 18:33:33,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,6.19,6.34,5.92,7.27,7.8,9.28
3479,,34.046755,-118.155307,1381 Rock Haven St,outside,2.22,112.0,44.44444444444444,7.0,1004.41,,,,,,,,,,,,,2020-11-15 18:33:07,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.83,3.23,4.1,14.81,20.53,16.06
38831,,38.572851,-121.502106,13th & T,outside,22.51,65.0,18.333333333333336,44.0,1026.45,,,,,,,,,,,,,2020-11-15 18:33:13,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,19.68,19.34,20.34,29.55,26.76,21.27
23285,,38.882974,-76.988037,13th and E St SE,outside,11.5,71.0,21.666666666666668,84.0,1009.14,,,,,,,,,,,,,2020-11-15 18:34:23,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,11.39,11.73,13.43,24.49,21.38,17.21
70523,,37.38335,-122.191514,14 Arastradero,outside,4.6,61.0,16.11111111111111,43.0,1013.73,,,,,,,,,,,,,2020-11-15 18:34:02,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,5.81,5.94,5.25,6.57,7.44,11.16
80051,,37.586827,-122.374856,1400 Cortez Avenue,outside,33.3,64.0,17.77777777777778,54.0,1027.78,,,,,,,,,,,,,2020-11-15 18:34:14,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,36.8,31.89,24.26,12.71,8.97,8.78
61171,,44.918559,-116.125583,"1405 Warren Wagon Rd. McCall, Idaho 83638",outside,2.56,42.0,5.555555555555555,63.0,850.01,,,,,,,,,,,,,2020-11-15 18:34:01,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,6.12,8.46,9.28,5.66,9.71,11.78
76519,,38.109954,-122.883385,142XX SFD,outside,3.3,64.0,17.77777777777778,57.0,1012.46,,,,,,,,,,,,,2020-11-15 18:33:32,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,4.14,4.07,3.64,2.76,3.08,6.17
15923,,45.084006,-92.817049,14410,outside,11.0,42.0,5.555555555555555,50.0,972.42,,,,,,,,,,,,,2020-11-15 18:33:11,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,11.3,13.32,15.1,15.9,13.4,11.78
71629,,39.709632,-105.162399,14469WVD,outside,0.0,54.0,12.222222222222223,23.0,813.75,,,,,,,,,,,,,2020-11-15 18:33:57,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.0,0.0,0.01,0.05,0.96,4.52
70515,,38.000866,-122.527593,148 Madison,outside,7.32,61.0,16.11111111111111,46.0,1027.08,,,,,,,,,,,,,2020-11-15 18:34:19,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,6.14,5.42,4.84,3.59,4.23,11.77
31583,,38.913805,-77.03275,14th & S ST NW ,outside,7.96,69.0,20.555555555555557,50.0,1007.7,,,,,,,,,,,,,2020-11-15 18:33:54,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,9.13,9.65,10.77,18.19,15.85,13.42
61489,,48.020795,-66.725453,15 - Listuguj First Nation,outside,1.33,48.0,8.88888888888889,34.0,1022.21,,,,,,,,,,,,,2020-11-15 18:32:49,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.35,1.18,1.0,1.86,4.93,6.03
55101,,37.782835,-122.454214,150 Parker Avenue,outside,9.84,66.0,18.88888888888889,48.0,1020.65,,,,,,,,,,,,,2020-11-15 18:34:14,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,10.68,10.56,9.26,5.48,3.46,5.26
6786,,35.034441,-120.547195,"1518 Trail View Place, Nipomo, CA  93444-6619",outside,1.55,83.0,28.333333333333336,16.0,1014.46,,,,,,,,,,,,,2020-11-15 18:32:37,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.57,1.97,2.33,3.29,6.42,12.38
80445,,37.539294,-122.360949,1550 Lakeview Drive Hillsborough CA 94010,outside,22.58,61.0,16.11111111111111,55.0,1008.34,,,,,,,,,,,,,2020-11-15 18:33:11,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,23.86,19.13,13.77,6.44,6.18,6.96
77603,,37.326286,-121.919262,"1565 Martin Ave, San jose, can 95126",outside,30.79,64.0,17.77777777777778,49.0,1024.55,,,,,,,,,,,,,2020-11-15 18:33:12,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,29.77,32.33,33.37,27.42,18.75,14.63
70189,,37.766071,-122.424116,15th & Guerrero,outside,31.13,62.0,16.666666666666668,51.0,1025.07,,,,,,,,,,,,,2020-11-15 18:34:07,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,31.26,28.6,25.14,17.87,12.38,11.93
44055,,37.766277,-122.435686,15th and Castro St.,outside,30.38,62.0,16.666666666666668,57.0,1020.5,,,,,,,,,,,,,2020-11-15 18:33:58,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,29.87,27.5,23.64,13.48,9.35,11.46
65713,,37.766154,-122.432766,15th and Noe,outside,37.4,60.0,15.555555555555557,62.0,1022.73,,,,,,,,,,,,,2020-11-15 18:32:41,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,36.05,32.66,28.05,17.67,12.23,12.04
72147,,47.70844,-122.312429,15th and Northgate,outside,2.02,54.0,12.222222222222223,59.0,1006.67,,,,,,,,,,,,,2020-11-15 18:32:38,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.13,2.23,2.2,3.09,5.13,3.65
45797,,40.184704,-105.098627,15th Avenue and 287 Longmont,outside,8.6,68.0,20.0,23.0,845.38,,,,,,,,,,,,,2020-10-31 00:11:20,PMS5003+PMS5003+BME280,,,False,False,False,22703,,,,,,,False,17.02,18.0,18.21,21.98,23.24,24.29
62207,,36.96255,-121.99147,15th Avenue,outside,10.29,75.0,23.88888888888889,30.0,1025.49,,,,,,,,,,,,,2020-11-15 18:33:22,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,10.12,10.13,9.73,11.1,10.9,13.47
65729,,37.531734,-122.242165,16 Barcelona Cir,outside,18.41,87.0,30.555555555555557,21.0,1028.28,,,,,,,,,,,,,2020-11-15 18:33:11,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,21.94,18.97,15.53,14.74,11.63,12.31
56703,,48.410302,-122.337523,1600 S 2nd St,outside,1.05,57.0,13.88888888888889,100.0,1013.48,,,,,,,,,,,,,2020-11-15 18:33:49,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,1.36,1.28,1.24,0.95,3.2,9.21
46293,,38.891215,-77.107814,1625 N Quincy St,outside,9.73,,,,,,,,,,,,,,,,,2020-11-15 18:34:12,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,9.63,12.42,16.66,22.82,16.32,11.88
77885,,47.4545,-122.328979,16507 4th Ave S Burien WA,outside,1.96,55.0,12.777777777777779,61.0,1009.78,,,,,,,,,,,,,2020-11-15 18:33:11,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.76,1.71,2.44,12.06,11.3,9.51
35725,,46.29546,-114.0059,1652 Willow Creek,outside,0.0,49.0,9.444444444444445,37.0,872.77,,,,,,,,,,,,,2020-11-15 18:34:19,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.0,0.01,0.04,0.07,0.92,5.84
